scenario_id,fleet_size,epoch_minutes,weights,temperature,method,trips_served,trips_missed,service_rate_pct,total_energy_kWh,avg_energy_per_trip,avg_wait_sec,total_deadhead_km,wall_time_sec
F8_E10_Wser_Thot,8,10.0,service_focused,hot_summer,nearest,2516,6957,26.56,614.19,0.2441,1890.5,565.27,0.78
F10_E2_Wbal_Tcol,10,2.0,balanced,cold_winter,milp_ml,6772,2701,71.49,1002.72,0.1481,249.6,207.12,52.57
F10_E2_Wbal_Tcol,10,2.0,balanced,cold_winter,milp_fixed,6772,2701,71.49,1002.72,0.1481,249.6,207.12,55.23
F10_E2_Wbal_Tcol,10,2.0,balanced,cold_winter,nearest,3488,5985,36.82,921.16,0.2641,1700.6,958.91,1.2
F10_E2_Wbal_Tbas,10,2.0,balanced,baseline,milp_ml,6772,2701,71.49,1002.72,0.1481,249.6,207.12,49.66
F10_E2_Wbal_Tbas,10,2.0,balanced,baseline,milp_fixed,6772,2701,71.49,1002.72,0.1481,249.6,207.12,48.83
F10_E2_Wbal_Tbas,10,2.0,balanced,baseline,nearest,3488,5985,36.82,921.16,0.2641,1700.6,958.91,1.2
F10_E2_Wbal_Thot,10,2.0,balanced,hot_summer,milp_ml,6772,2701,71.49,1002.72,0.1481,249.6,207.12,49.22
F10_E2_Wbal_Thot,10,2.0,balanced,hot_summer,milp_fixed,6772,2701,71.49,1002.72,0.1481,249.6,207.12,49.37
F10_E2_Wbal_Thot,10,2.0,balanced,hot_summer,nearest,3488,5985,36.82,921.16,0.2641,1700.6,958.91,1.19
F10_E2_Wene_Tcol,10,2.0,energy_focused,cold_winter,milp_ml,6750,2723,71.26,1002.67,0.1485,208.2,281.9,49.47
F10_E2_Wene_Tcol,10,2.0,energy_focused,cold_winter,milp_fixed,6750,2723,71.26,1002.67,0.1485,208.2,281.9,650.5
F10_E2_Wene_Tcol,10,2.0,energy_focused,cold_winter,nearest,3488,5985,36.82,921.16,0.2641,1700.6,958.91,1.35
F10_E2_Wene_Tbas,10,2.0,energy_focused,baseline,milp_ml,6750,2723,71.26,1002.67,0.1485,208.2,281.9,1584.14
