time_sec,time_str,vehicle_id,status,lat,lon,location,soc,km_today,trips_served,event
25200.0,07:00:00,120,idle,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,initial
25200.0,07:00:00,121,idle,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,initial
25200.0,07:00:00,122,idle,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,initial
25200.0,07:00:00,123,idle,41.835479,-87.627146,Perlstein Hall,0.95,0.0,0,initial
25200.0,07:00:00,124,idle,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,initial
25200.0,07:00:00,125,idle,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,initial
25200.0,07:00:00,126,idle,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,initial
25200.0,07:00:00,127,idle,41.83604,-87.625535,The Commons,0.95,0.0,0,initial
25200.0,07:00:00,128,idle,41.833032,-87.624633,Alpha Sigma Phi,0.95,0.0,0,initial
25200.0,07:00:00,129,idle,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,initial
25200.0,07:00:00,130,idle,41.831886,-87.628445,Chemistry Research Building,0.95,0.0,0,initial
25200.0,07:00:00,131,idle,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,initial
25200.0,07:00:00,132,idle,41.834344,-87.623795,Farr Hall,0.95,0.0,0,initial
25200.0,07:00:00,133,idle,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,initial
25200.0,07:00:00,134,idle,41.836861,-87.6283,Kaplan Institute,0.95,0.0,0,initial
25200.0,07:00:00,135,idle,41.834303,-87.629281,Main Building,0.95,0.0,0,initial
25200.0,07:00:00,136,idle,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,initial
25200.0,07:00:00,137,idle,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,initial
25200.0,07:00:00,138,idle,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,initial
25200.0,07:00:00,139,idle,41.835479,-87.627146,Perlstein Hall,0.95,0.0,0,initial
25200.0,07:00:00,140,idle,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,initial
25200.0,07:00:00,141,idle,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,initial
25200.0,07:00:00,142,idle,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,initial
25200.0,07:00:00,143,idle,41.83604,-87.625535,The Commons,0.95,0.0,0,initial
25200.0,07:00:00,144,idle,41.833032,-87.624633,Alpha Sigma Phi,0.95,0.0,0,initial
25200.0,07:00:00,145,idle,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,initial
25200.0,07:00:00,146,idle,41.831886,-87.628445,Chemistry Research Building,0.95,0.0,0,initial
25200.0,07:00:00,147,idle,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,initial
25200.0,07:00:00,148,idle,41.834344,-87.623795,Farr Hall,0.95,0.0,0,initial
25200.0,07:00:00,149,idle,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,initial
25200.0,07:00:00,150,idle,41.836861,-87.6283,Kaplan Institute,0.95,0.0,0,initial
25200.0,07:00:00,151,idle,41.834303,-87.629281,Main Building,0.95,0.0,0,initial
25200.0,07:00:00,152,idle,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,initial
25200.0,07:00:00,153,idle,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,initial
25200.0,07:00:00,154,idle,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,initial
25200.0,07:00:00,155,idle,41.835479,-87.627146,Perlstein Hall,0.95,0.0,0,initial
25200.0,07:00:00,156,idle,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,initial
25200.0,07:00:00,157,idle,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,initial
25200.0,07:00:00,158,idle,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,initial
25200.0,07:00:00,159,idle,41.83604,-87.625535,The Commons,0.95,0.0,0,initial
25200.0,07:00:00,160,idle,41.833032,-87.624633,Alpha Sigma Phi,0.95,0.0,0,initial
25200.0,07:00:00,161,idle,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,initial
25200.0,07:00:00,162,idle,41.831886,-87.628445,Chemistry Research Building,0.95,0.0,0,initial
25200.0,07:00:00,163,idle,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,initial
25200.0,07:00:00,164,idle,41.834344,-87.623795,Farr Hall,0.95,0.0,0,initial
25200.0,07:00:00,165,idle,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,initial
25200.0,07:00:00,166,idle,41.836861,-87.6283,Kaplan Institute,0.95,0.0,0,initial
25200.0,07:00:00,167,idle,41.834303,-87.629281,Main Building,0.95,0.0,0,initial
25200.0,07:00:00,168,idle,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,initial
